col,term,b,se,df,r2,N
small,var_Q, .095148544200929858, .016658444271240941,                  14, .239771227729697833,                7074
small,d, .017039456772351098, .029278765163174354,                  14, .239771227729697833,                7074
small,d_x,-.103748521919398998, .032271864641939894,                  14, .239771227729697833,                7074
small,y1933_x,-.005490611240208261, .020368738274970561,                  14, .239771227729697833,                7074
small,y1934_x,-.003759412707509321,   .0179888416442361,                  14, .239771227729697833,                7074
small,After_x,-.004197142540095434, .017779740396732083,                  14, .239771227729697833,                7074
small,d_1933,-.053353405912590961, .024462668445831334,                  14, .239771227729697833,                7074
small,d_1934,-.013032784730402152, .022002566671953702,                  14, .239771227729697833,                7074
small,d_After,-.022856780365867926,  .02348038493267926,                  14, .239771227729697833,                7074
small,d_1933_x,-.016572518296107161, .040953983849247567,                  14, .239771227729697833,                7074
small,d_1934_x,-.054670956025878396, .030552951246500027,                  14, .239771227729697833,                7074
small,d_After_x, .026450980847040395, .027769924971881126,                  14, .239771227729697833,                7074
lowcash,var_Q, .096187081219312215,  .01661481178878399,                  14, .239195844404010538,                7074
lowcash,d,-.033385775978863282, .028612124266792851,                  14, .239195844404010538,                7074
lowcash,d_x,-.033440201206645578, .079936159417734312,                  14, .239195844404010538,                7074
lowcash,y1933_x,-.088309122269573742, .022665960726794204,                  14, .239195844404010538,                7074
lowcash,y1934_x, .013937313496657793, .016571122930145617,                  14, .239195844404010538,                7074
lowcash,After_x,-.015645512025116676, .017942997118263689,                  14, .239195844404010538,                7074
lowcash,d_1933,-.095818795936309875, .026651539684861798,                  14, .239195844404010538,                7074
lowcash,d_1934,-.052005308302477474, .020499703412732405,                  14, .239195844404010538,                7074
lowcash,d_After,-.023911526574020046, .019571514039927337,                  14, .239195844404010538,                7074
lowcash,d_1933_x,  .10278830915505148, .044950585864081821,                  14, .239195844404010538,                7074
lowcash,d_1934_x, .010685024184403917, .035072555405917125,                  14, .239195844404010538,                7074
lowcash,d_After_x, .042065227357058574, .037938405705181588,                  14, .239195844404010538,                7074
highlev,var_Q,  .09650322152138352, .016862413195270615,                  14, .239405329380816823,                7074
highlev,d,-.046409690426555412, .021284855523297223,                  14, .239405329380816823,                7074
highlev,d_x, .004030049349809592, .075328606691487929,                  14, .239405329380816823,                7074
highlev,y1933_x,-.056648423765169507, .043094239910399706,                  14, .239405329380816823,                7074
highlev,y1934_x, -.03684998807998266, .036048562226388803,                  14, .239405329380816823,                7074
highlev,After_x,-.024315432259402168,  .03187118828692629,                  14, .239405329380816823,                7074
highlev,d_1933,-.043375072899841438, .020200305037564283,                  14, .239405329380816823,                7074
highlev,d_1934,-.037389267321772224, .012432006794470344,                  14, .239405329380816823,                7074
highlev,d_After, .006756815385295098, .015859080630020561,                  14, .239405329380816823,                7074
highlev,d_1933_x,-.026530577062021807, .064762166333842061,                  14, .239405329380816823,                7074
highlev,d_1934_x,-.001264752815403149, .052898531035365508,                  14, .239405329380816823,                7074
highlev,d_After_x,-.025625361488089114, .042165464005269715,                  14, .239405329380816823,                7074
