col,term,b,se,df,r2,N
payout,var_Q, .059029340782655169, .031371243310944451,                  14, .414967048656915472,                7074
payout,d,-.005187053800338415, .035974842968121722,                  14, .414967048656915472,                7074
payout,d_year_1926,  .05327075080245712, .033935199494829031,                  14, .414967048656915472,                7074
payout,d_year_1927,-.026055195571825916,  .04571291665833821,                  14, .414967048656915472,                7074
payout,d_year_1928,-.041363931530646741, .059949171333239903,                  14, .414967048656915472,                7074
payout,d_year_1929,-.017492728421830868, .039843942315004086,                  14, .414967048656915472,                7074
payout,d_year_1930,-.019181040913846203, .029968437921609564,                  14, .414967048656915472,                7074
payout,d_year_1931, .003952414396153823,  .00958836527153209,                  14, .414967048656915472,                7074
payout,d_year_1933, .038211007111530082, .015387134180496184,                  14, .414967048656915472,                7074
payout,d_year_1934, .054297114627893071, .017771279681496083,                  14, .414967048656915472,                7074
payout,d_year_1935,-.011214673230608129, .010473895783814871,                  14, .414967048656915472,                7074
payout,d_year_1936,  .03342636354109061,  .02128831276269422,                  14, .414967048656915472,                7074
payout,d_year_1937,-.025793234013270629, .024210552053032772,                  14, .414967048656915472,                7074
payout,d_year_1938, .015513573748267737, .016582131920091146,                  14, .414967048656915472,                7074
payout,d_year_1939, .026520309778710293, .016021417130210176,                  14, .414967048656915472,                7074
payout,d_year_1940,-.014183571990348297, .015282899405755442,                  14, .414967048656915472,                7074
cashrat,var_Q, .111060789910579535, .018449377700673411,                  14, .788383289983614177,                7074
cashrat,d, .022376280228491845,  .02269532564102204,                  14, .788383289983614177,                7074
cashrat,d_year_1926,-.010270701291162119, .017357674904743083,                  14, .788383289983614177,                7074
cashrat,d_year_1927,-.022572990303562798, .024770058969090961,                  14, .788383289983614177,                7074
cashrat,d_year_1928,-.012283983172783468, .028728984647060057,                  14, .788383289983614177,                7074
cashrat,d_year_1929, .005066672196786085, .026769338493679774,                  14, .788383289983614177,                7074
cashrat,d_year_1930,-.008151072250155801,  .01701189789371671,                  14, .788383289983614177,                7074
cashrat,d_year_1931,  -.0157051594892339,  .01051598682483109,                  14, .788383289983614177,                7074
cashrat,d_year_1933, .028156470357281613, .012431917231831031,                  14, .788383289983614177,                7074
cashrat,d_year_1934, .036136067965269102, .011236781999603174,                  14, .788383289983614177,                7074
cashrat,d_year_1935, .007706646563275642, .009514254966176784,                  14, .788383289983614177,                7074
cashrat,d_year_1936, .015430633575647898, .019926266588283049,                  14, .788383289983614177,                7074
cashrat,d_year_1937,-.023939119723536729, .024894480251347106,                  14, .788383289983614177,                7074
cashrat,d_year_1938,-.012244539725521895, .014084365975885194,                  14, .788383289983614177,                7074
cashrat,d_year_1939,-.022300811751467309, .017409976405815791,                  14, .788383289983614177,                7074
cashrat,d_year_1940,-.032971144256891453, .021391388583265284,                  14, .788383289983614177,                7074
netrep,var_Q,-.060603248050599426, .032913588646676768,                  14, .154928527798734228,                7074
netrep,d,-.011719096958881016, .024413863858129898,                  14, .154928527798734228,                7074
netrep,d_year_1926,  .04049823260252032, .026697355997684146,                  14, .154928527798734228,                7074
netrep,d_year_1927,-.030068113745843113, .023413213154315327,                  14, .154928527798734228,                7074
netrep,d_year_1928, -.05632972345115058, .037363555639093195,                  14, .154928527798734228,                7074
netrep,d_year_1929,-.003256449100386906, .026246985694032551,                  14, .154928527798734228,                7074
netrep,d_year_1930,-.007291719520029059, .021695447150101774,                  14, .154928527798734228,                7074
netrep,d_year_1931, -.00253638158808529, .008646478611214106,                  14, .154928527798734228,                7074
netrep,d_year_1933, .016854466704675213, .009728507618622928,                  14, .154928527798734228,                7074
netrep,d_year_1934, .005778614755099484, .010900918391167497,                  14, .154928527798734228,                7074
netrep,d_year_1935, -.03017551221619558, .011708710291621627,                  14, .154928527798734228,                7074
netrep,d_year_1936, .016493330662322805, .015774339982143497,                  14, .154928527798734228,                7074
netrep,d_year_1937,-.005165660316761248, .018845433739340927,                  14, .154928527798734228,                7074
netrep,d_year_1938,  .02652503836102894, .010109583967910849,                  14, .154928527798734228,                7074
netrep,d_year_1939,  .05039801082021414, .007394847851647558,                  14, .154928527798734228,                7074
netrep,d_year_1940,  .01481099159652037, .008356427288002377,                  14, .154928527798734228,                7074
nippe,var_Q, .212368158770358695, .035468855944716306,                  14, .647557765344032865,                7038
nippe,d, .083096367703115681, .043169020131886705,                  14, .647557765344032865,                7038
nippe,d_year_1926,-.200893666101778612, .044347707506371112,                  14, .647557765344032865,                7038
nippe,d_year_1927,-.293877732496837074, .069142514624708024,                  14, .647557765344032865,                7038
nippe,d_year_1928,-.192634652769589798, .052669340419081445,                  14, .647557765344032865,                7038
nippe,d_year_1929,-.064498547912468437, .049487850036987961,                  14, .647557765344032865,                7038
nippe,d_year_1930,-.001692986990494007, .035079428197411035,                  14, .647557765344032865,                7038
nippe,d_year_1931,-.049732502838670326, .023436385912654709,                  14, .647557765344032865,                7038
nippe,d_year_1933, .011549413903605104, .017991958378175996,                  14, .647557765344032865,                7038
nippe,d_year_1934, .011022156167242263,  .01644622753406829,                  14, .647557765344032865,                7038
nippe,d_year_1935, .008546641576155504, .021226217132781264,                  14, .647557765344032865,                7038
nippe,d_year_1936, -.01363863505381112, .026960943514458758,                  14, .647557765344032865,                7038
nippe,d_year_1937,-.018577441223902567, .031020553706691836,                  14, .647557765344032865,                7038
nippe,d_year_1938,-.039013989170421474, .027270283968724576,                  14, .647557765344032865,                7038
nippe,d_year_1939,-.056137508012513715, .033615346633459789,                  14, .647557765344032865,                7038
